Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Iga Swiatek [POL],84,74-10,88.10%,64.60%,65.40%,144,2.90%,137,2.80%,8.10%,65.90%,69.90%,54.30%,59.10%,81.60%,6.2,2.2
2,Aryna Sabalenka [BLR],64,49-15,76.60%,63.20%,63.90%,348,8.20%,247,5.80%,15.20%,61.70%,71.90%,49.00%,57.80%,78.90%,6.4,2.4
3,Coco Gauff [USA],71,55-16,77.50%,59.60%,61.30%,261,5.70%,293,6.40%,16.10%,60.30%,69.10%,45.10%,53.80%,72.00%,6.5,2.6
4,Elena Rybakina [KAZ],64,50-14,78.10%,62.90%,61.30%,412,9.80%,147,3.50%,8.70%,59.80%,73.20%,47.70%,52.20%,79.20%,6.5,2.4
5,Jessica Pegula [USA],64,48-16,75.00%,59.90%,60.50%,164,4.10%,143,3.60%,8.50%,58.40%,67.60%,49.20%,53.80%,72.60%,6.4,2.6
6,Ons Jabeur [TUN],47,29-18,61.70%,57.00%,57.10%,167,5.20%,131,4.10%,9.10%,54.90%,66.20%,45.80%,50.40%,66.30%,6.7,2.9
7,Maria Sakkari [GRE],59,35-24,59.30%,59.80%,60.80%,192,4.70%,191,4.60%,11.60%,59.90%,67.50%,48.20%,54.40%,73.60%,6.7,2.7
8,Qinwen Zheng [CHN],57,38-19,66.70%,59.80%,60.30%,345,8.70%,262,6.60%,13.70%,51.60%,73.80%,44.70%,51.80%,72.90%,6.5,2.6
9,Marketa Vondrousova [CZE],51,34-17,66.70%,58.20%,60.70%,132,4.30%,212,6.90%,19.00%,63.40%,65.20%,45.90%,56.60%,68.00%,6.4,2.7
10,Jelena Ostapenko [LAT],62,42-20,67.70%,58.80%,60.40%,271,5.70%,302,6.30%,14.80%,57.60%,68.70%,45.40%,53.30%,70.90%,6.7,2.7
11,Daria Kasatkina [RUS],67,43-24,64.20%,54.90%,57.60%,74,1.50%,281,5.80%,21.50%,73.20%,60.30%,40.10%,51.00%,62.80%,7,3.2
12,Karolina Muchova [CZE],31,23-8,74.20%,59.60%,60.10%,90,3.70%,79,3.30%,8.90%,63.40%,64.90%,50.50%,55.50%,70.90%,6.7,2.7
13,Beatriz Haddad Maia [BRA],62,37-25,59.70%,59.40%,60.50%,115,2.70%,151,3.60%,11.30%,68.20%,63.80%,50.10%,56.40%,72.40%,6.5,2.6
14,Jasmine Paolini [ITA],67,39-28,58.20%,57.20%,57.80%,71,1.50%,103,2.20%,7.20%,69.20%,60.80%,49.00%,52.80%,65.40%,6.4,2.7
15,Ekaterina Alexandrova [RUS],58,36-22,62.10%,59.40%,61.80%,289,6.70%,350,8.20%,19.80%,58.80%,70.10%,43.90%,54.80%,72.00%,6.7,2.7
16,Liudmila Samsonova [RUS],54,30-24,55.60%,59.80%,61.50%,283,7.60%,278,7.50%,16.10%,53.50%,71.00%,46.90%,55.90%,72.40%,6.4,2.6
17,Elina Svitolina [UKR],40,27-13,67.50%,58.60%,58.80%,137,4.80%,103,3.60%,9.60%,62.20%,65.90%,46.70%,51.60%,69.50%,6.6,2.7
18,Madison Keys [USA],33,22-11,66.70%,61.50%,61.40%,121,5.20%,70,3.00%,9.00%,66.70%,69.00%,46.60%,51.30%,77.30%,6.7,2.6
19,Veronika Kudermetova [RUS],50,28-22,56.00%,59.30%,58.70%,240,6.70%,132,3.70%,9.30%,60.10%,68.00%,46.10%,50.90%,69.40%,6.5,2.6
20,Emma Navarro [USA],52,34-18,65.40%,57.20%,58.30%,62,1.60%,115,3.10%,8.60%,64.50%,61.90%,48.50%,53.10%,66.70%,6.5,2.8
